,iati_identifier,reporting_org_narrative,title_narrative,description_narrative,participating_org_narrative,contact_info_organisation_narrative,recipient_country_code,sector_code,sector,sector_narrative,transaction_transaction_type_code,transaction_transaction_date_iso_date,transaction_value,default_currency,transaction_description_narrative,transaction_provider_org_ref,transaction_provider_org_narrative,year,month,day
53,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-03-31T00:00:00Z,1572861,USD,Total Disbursement in First Quarter of 2017,44002,International Development Association,2017,3,31
54,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-03-31T00:00:00Z,832878,USD,Total Disbursement in First Quarter of 2017,44002,International Development Association,2017,3,31
55,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-03-31T00:00:00Z,443804,USD,Total Disbursement in First Quarter of 2017,44002,International Development Association,2017,3,31
56,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-03-31T00:00:00Z,2800797,USD,Total Disbursement in First Quarter of 2017,44002,International Development Association,2017,3,31
57,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-03-31T00:00:00Z,494258,USD,Total Disbursement in First Quarter of 2017,44002,International Development Association,2017,3,31
58,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-06-30T00:00:00Z,2159949,USD,Total Disbursement in Second Quarter of 2017,44002,International Development Association,2017,6,30
60,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-09-30T00:00:00Z,10258,USD,Total Disbursement in Third Quarter of 2017,44002,International Development Association,2017,9,30
61,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-09-30T00:00:00Z,4294,USD,Total Disbursement in Third Quarter of 2017,44002,International Development Association,2017,9,30
63,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-12-31T00:00:00Z,27539,USD,Total Disbursement in Fourth Quarter of 2017,44002,International Development Association,2017,12,31
64,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2017-12-31T00:00:00Z,19216,USD,Total Disbursement in Fourth Quarter of 2017,44002,International Development Association,2017,12,31
